xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
54.514996,-3.406036,9.6458670663,1.0,29.882640,1,0.185850,1,4.867811284293204,0.0
54.805710,-3.729095,9.2103383585,2.0,33.937615,2,0.231888,2,4.870347270645095,0.0
56.033386,3.092163,10.3742183150,2.0,36.329975,2,0.177468,2,5.055122342199049,0.0
56.586872,5.528870,10.7813904250,2.0,39.345572,2,0.249099,2,4.809766170526864,0.0
56.908371,-1.228119,10.4459273286,2.0,31.832744,2,0.134150,2,4.867428887681658,0.0
54.913342,4.511871,10.5129882696,2.0,31.734661,2,0.207433,2,4.904273106666204,0.0
55.830265,-4.047577,7.4804137775,1.0,35.500621,1,0.069773,1,4.103828209813213,0.0
56.662365,-2.297791,9.3372676289,2.0,32.271174,2,0.355919,2,4.494817094983158,0.0
56.728085,2.837585,10.4332487187,2.0,41.530388,2,0.163397,2,5.12485404439582,0.0
54.475441,2.142822,10.2318248120,2.0,30.751647,2,0.210778,2,5.003405577566878,0.0
55.485592,-0.769867,9.8720063062,2.0,34.563888,2,0.224593,2,4.6914158356231015,0.0
56.092136,2.827606,10.3768047021,2.0,37.960404,2,0.333111,2,5.073840454827516,0.0
56.471386,3.363770,10.4341381200,2.0,40.114203,2,0.081801,2,5.048128782598641,0.0
56.526993,-0.923218,10.4770738787,2.0,41.585457,2,0.153352,2,4.95201541182017,0.0
55.075565,4.471680,10.5096693724,2.0,30.660380,2,0.183271,2,4.889042571289894,0.0
55.391590,-1.521515,8.9946629657,2.0,35.669699,2,0.137949,2,4.341869816774944,0.0
55.741638,-2.059692,9.1966226508,1.0,33.160323,1,0.409761,1,4.4273467155461335,0.0
56.848503,-0.796295,10.5408719546,2.0,35.112096,2,0.049654,2,4.962031221009483,0.0
55.382496,-0.927429,9.6996774609,2.0,34.533507,2,0.113688,2,4.610225403474702,0.0
56.440231,3.322754,10.4364677849,2.0,39.721280,2,0.042980,2,5.053585019155323,0.0
54.829021,-1.106750,9.0923086180,2.0,30.168535,2,0.291450,2,4.251737776123192,0.0
55.625835,2.866058,10.3613545679,2.0,35.014461,2,0.142447,2,5.012154577310351,0.0
55.774055,4.588745,10.5323820486,2.0,32.053449,2,0.049679,2,4.918560942620258,0.0
54.527485,1.313690,10.1850534198,2.0,31.578241,2,0.126711,2,4.933373503091578,0.0
54.640160,-3.704285,9.4816322694,2.0,32.040589,2,0.100601,2,4.908085871319518,0.0
55.723476,-0.415039,10.1729441570,2.0,36.402455,2,0.110128,2,4.809347593669332,0.0
56.435959,3.274109,10.4329130894,2.0,39.687345,2,0.058385,2,5.053641589691458,0.0
54.369286,-3.246124,9.1940179884,1.0,29.168816,1,0.111471,1,4.7964003296795426,0.0
55.134560,-0.442413,9.8155387603,2.0,31.389773,2,0.247508,2,4.686790916203491,0.0
56.344357,0.904572,10.4593242094,2.0,40.601206,2,0.344689,2,5.090641478122115,0.0
56.409679,0.480591,10.4686850639,2.0,40.815807,2,0.389770,2,5.047625793687539,0.0
56.117146,-3.223145,8.6524169874,1.0,38.804760,1,0.055104,1,4.354382875924263,0.0
54.685890,-1.778870,8.4584726968,1.0,31.407043,1,0.088463,1,4.391732499188499,0.0
54.700607,-3.097168,10.3716431255,1.0,32.682034,1,0.136285,1,5.219675676606332,0.0
55.406597,-1.182709,9.5093001787,2.0,35.561491,2,0.199832,2,4.510926550825859,0.0
